uid,frequency,intensity
500,1226.0122,54.0791
500,1259.2734,33.3476
500,1335.0733,142.5811
500,1367.143,9.6636
500,1398.2414,39.8111
500,1422.8568,24.8941
500,1453.1346,41.5411
500,1456.4225,113.8502
500,1500.742,56.8985
500,1537.0706,53.631
500,1541.7392,32.2854
500,1589.7331,29.7973
500,3074.4062,1.3865
500,3083.9847,0.1149
500,3089.1398,0.176
500,3093.7902,0.392
500,3103.4527,0.2138
500,3104.7884,0.5038
500,3110.0904,1.0091
500,3548.0709,258.6933
498,110.0803,1.3584
498,174.5733,3.2703
498,268.0688,0.01
498,286.4216,2.1512
498,385.1803,1.1414
498,407.1002,13.119
498,430.6471,8.0026
498,456.1858,3.3453
498,491.571,5.8833
498,511.3195,0.4495
498,539.7787,129.7974
498,605.6614,1.3701
498,625.42,2.4846
498,712.9796,4.7326
498,722.3005,0.0041
498,757.3032,6.0771
498,759.9691,31.8385
498,808.87,36.1488
498,866.478,35.1666
498,899.399,1.4068
498,900.0933,2.0301
498,944.4112,19.4456
498,958.4418,0.4997
498,975.2586,2.5425
498,1000.8088,0.6466
498,1034.6785,9.2139
498,1102.0237,19.7038
498,1134.5694,71.7223
498,1159.5564,141.0368
498,1167.6789,38.0114
498,1184.0407,42.2387
498,1220.7024,83.2773
498,1274.0916,11.6809
498,1337.0786,312.0136
498,1358.5018,3.9805
498,1386.6612,7.2271
498,1406.3294,64.7779
498,1450.0671,25.8527
498,1475.1639,7.1974
498,1500.6022,43.806
498,1537.2255,14.3816
498,1560.3055,268.0939
498,1584.4084,36.2904
498,3077.3916,0.5334
498,3081.8918,0.1286
498,3085.1111,0.2178
498,3089.8682,0.5133
498,3096.0854,2.5255
498,3096.803,0.432
498,3107.154,0.0814
498,3544.8729,300.9065
476,90.1512,2.7816
476,164.5672,2.8015
476,232.9598,8.6452
476,299.2158,0.8691
476,393.3573,1.3856
476,427.715,7.1684
476,450.2151,0.3466
476,460.7212,3.7914
476,474.685,83.4082
476,499.0428,0.1325
476,513.6862,133.2989
476,540.5835,0.1565
476,563.8277,0.1458
476,634.8475,1.0419
476,706.4967,0.6827
476,726.3061,2.3156
476,759.4979,68.5135
476,781.0671,0.7935
476,790.4922,32.1516
476,869.0023,2.0172
476,869.6104,0.5789
476,900.357,0.4459
476,955.7342,0.9957
476,978.5368,0.0314
476,990.9028,2.5077
476,1001.3246,0.0528
476,1046.2802,2.8056
476,1082.9885,3.8334
476,1107.105,0.3056
476,1138.519,10.6969
476,1174.6526,2.7122
476,1177.5416,27.1874
476,1221.6752,45.2119
476,1266.3087,5.3512
476,1340.4692,5.1685
476,1354.847,18.2815
476,1380.3588,59.7683
476,1428.5782,6.5183
476,1448.5857,3.0004
476,1463.5691,80.7726
476,1505.3182,36.7521
476,1543.784,14.9211
476,1570.3692,14.4646
476,1578.7968,11.021
476,1654.3779,215.5969
476,3070.5741,3.8228
476,3078.5379,1.1905
476,3082.0962,0.0703
476,3088.0479,0.131
476,3093.9526,1.2631
476,3104.3356,0.2689
476,3104.5506,0.4772
476,3433.3195,258.2016
476,3538.353,56.1822
474,107.2938,5.8513
474,174.3343,0.4274
474,260.8918,1.2538
474,281.2823,2.6131
474,381.7284,2.0227
474,410.1363,0.366
474,440.2513,15.7812
474,448.2789,0.7323
474,488.2808,97.7774
474,505.6866,130.4208
474,512.3613,0.638
474,533.7702,7.2881
474,610.0116,0.4093
474,633.5279,1.5272
474,716.8496,1.3729
474,735.3514,1.2644
474,753.1143,4.7431
474,760.4465,27.0859
474,809.1589,13.2554
474,855.2913,56.3112
